1,Kedah / Perlis,Pos Laju Kangar,11,11,202002,1,2020-01-31,2020-01-31
2,Kedah / Perlis,Pos Laju Alor Setar,28,21,202002,1,2020-01-31,2020-01-31
3,Kedah / Perlis,DC Jitra,8,14,202002,1,2020-01-31,2020-01-31
4,Kedah / Perlis,Pos Laju Langkawi,4,14,202002,1,2020-01-31,2020-01-31
5,Kedah / Perlis,Pos Laju Sg. Petani,20,16,202002,1,2020-01-31,2020-01-31
6,Kedah / Perlis,Pos Laju Kulim,12,12,202002,1,2020-01-31,2020-01-31
7,Kedah / Perlis,Pos Laju Kupang,2,3,202002,1,2020-01-31,2020-01-31
8,Pulau Pinang,Pos Laju P.Pinang,24,18,202002,1,2020-01-31,2020-01-31
9,Pulau Pinang,Pos Laju Bayan Lepas,25,30,202002,1,2020-01-31,2020-01-31
10,Pulau Pinang,Pos Laju Butterworth,18,18,202002,1,2020-01-31,2020-01-31
11,Pulau Pinang,Pos Laju Kepala Batas,7,8,202002,1,2020-01-31,2020-01-31
12,Pulau Pinang,Pos Laju Bukit Mertajam,24,17,202002,1,2020-01-31,2020-01-31
13,Kelantan,Pos Laju Kota Bharu,22,28,202002,1,2020-01-31,2020-01-31
14,Kelantan,Pos Laju Pasir Mas,3,15,202002,1,2020-01-31,2020-01-31
15,Kelantan,Pos Laju Machang,0,18,202002,1,2020-01-31,2020-01-31
16,Terengganu,Pos Laju K. Terengganu,13,30,202002,1,2020-01-31,2020-01-31
17,Terengganu,Jerteh (Forward) Delivery Cent,0,17,202002,1,2020-01-31,2020-01-31
18,Terengganu,Pos Laju Dungun (Back end),0,16,202002,1,2020-01-31,2020-01-31
19,Terengganu,Pos Laju Chukai,0,21,202002,1,2020-01-31,2020-01-31
20,Pahang,Pos Laju Kuantan,10,32,202002,1,2020-01-31,2020-01-31
21,Pahang,Pos Laju Pekan,2,7,202002,1,2020-01-31,2020-01-31
22,Pahang,Pos Laju Muadzam,1,3,202002,1,2020-01-31,2020-01-31
23,Pahang,Pos Laju Temerloh,5,24,202002,1,2020-01-31,2020-01-31
24,Pahang,Pos Laju Bentong,4,17,202002,1,2020-01-31,2020-01-31
25,Perak,Pos Laju Ipoh,29,27,202002,1,2020-01-31,2020-01-31
26,Perak,Pusat Service Poslaju Batu Gaj,1,7,202002,1,2020-01-31,2020-01-31
27,Perak,Pos Laju Sitiawan,10,17,202002,1,2020-01-31,2020-01-31
28,Perak,Pos Laju Kuala Kangsar,4,14,202002,1,2020-01-31,2020-01-31
29,Perak,Pos Laju Taiping,10,14,202002,1,2020-01-31,2020-01-31
30,Perak,DC Parit Buntar,4,10,202002,1,2020-01-31,2020-01-31
31,Perak,Pos Laju Tapah,0,16,202002,1,2020-01-31,2020-01-31
32,Perak,Pos Laju Tanjung Malim,1,11,202002,1,2020-01-31,2020-01-31
33,Perak,Pos Laju Teluk Intan,1,8,202002,1,2020-01-31,2020-01-31
34,Selangor,Pos Laju Shah Alam,32,76,202002,1,2020-01-31,2020-01-31
35,Selangor,Pos Laju Klang,35,35,202002,1,2020-01-31,2020-01-31
36,Selangor,Pelabuhan Klang (Forward) Deli,5,13,202002,1,2020-01-31,2020-01-31
37,Selangor,Pos Laju Banting,4,14,202002,1,2020-01-31,2020-01-31
38,Selangor,DC Pos Laju Banting,6,13,202002,1,2020-01-31,2020-01-31
39,Selangor,Pos Laju Bangi,32,39,202002,1,2020-01-31,2020-01-31
40,Selangor,Pos Laju Balakong,30,29,202002,1,2020-01-31,2020-01-31
41,Selangor,Pos Laju Putrajaya,6,25,202002,1,2020-01-31,2020-01-31
42,Selangor,Pos Laju Kuala Selangor,2,17,202002,1,2020-01-31,2020-01-31
43,Selangor,Pos Laju Sabak Bernam,0,11,202002,1,2020-01-31,2020-01-31
44,Selangor,Pos Laju Petaling Jaya,25,22,202002,1,2020-01-31,2020-01-31
45,Selangor,Pos Laju Kota Damansara,23,32,202002,1,2020-01-31,2020-01-31
46,Selangor,Pos Laju Puchong,43,46,202002,1,2020-01-31,2020-01-31
47,Selangor,Pos Laju Rawang (Back End),11,21,202002,1,2020-01-31,2020-01-31
48,Kuala Lumpur,Pos Laju Brickfields,74,57,202002,1,2020-01-31,2020-01-31
49,Kuala Lumpur,Pos Laju Segambut,9,10,202002,1,2020-01-31,2020-01-31
50,Kuala Lumpur,Pos Laju Kepong,21,13,202002,1,2020-01-31,2020-01-31
51,Kuala Lumpur,Pos Laju Wangsa Maju,30,29,202002,1,2020-01-31,2020-01-31
52,Kuala Lumpur,Pos Laju Cheras,48,41,202002,1,2020-01-31,2020-01-31
53,Kuala Lumpur,Pos Laju Ampang,18,16,202002,1,2020-01-31,2020-01-31
54,Kuala Lumpur,Pos Laju Batu Caves,19,0,202002,1,2020-01-31,2020-01-31
55,N9,Pos Laju Port Dickson,1,9,202002,1,2020-01-31,2020-01-31
56,N9,Pos Laju Nilai,14,30,202002,1,2020-01-31,2020-01-31
57,N9,Pos Laju Bahau,3,3,202002,1,2020-01-31,2020-01-31
58,N9,Bahau Forward,2,4,202002,1,2020-01-31,2020-01-31
59,Melaka,Pos Laju Melaka,14,32,202002,1,2020-01-31,2020-01-31
60,Melaka,Pos Laju Alor Gajah,2,20,202002,1,2020-01-31,2020-01-31
61,Johor,Pusat Service Poslaju Kulai Ja,8,20,202002,1,2020-01-31,2020-01-31
62,Johor,Pos Laju Bandar Dato Onn,30,32,202002,1,2020-01-31,2020-01-31
63,Johor,Pos Laju Johor Bharu,32,28,202002,1,2020-01-31,2020-01-31
64,Johor,Pos Laju Pekan Nanas,6,19,202002,1,2020-01-31,2020-01-31
65,Johor,Pos Laju Pasir Gudang,22,21,202002,1,2020-01-31,2020-01-31
66,Johor,Pos Laju Kota Tinggi,5,8,202002,1,2020-01-31,2020-01-31
67,Johor,Pos Laju Batu Pahat,3,19,202002,1,2020-01-31,2020-01-31
68,Johor,Pos Laju Muar,9,20,202002,1,2020-01-31,2020-01-31
69,Johor,Pos Laju Segamat,3,13,202002,1,2020-01-31,2020-01-31
70,Johor,Pos Laju Kluang,3,18,202002,1,2020-01-31,2020-01-31
71,Johor,Pos Laju Ayer Hitam,3,9,202002,1,2020-01-31,2020-01-31
72,Johor,Pos Laju Mersing,2,6,202002,1,2020-01-31,2020-01-31
73,Sabah,Pos Laju Labuan,0,13,202002,1,2020-01-31,2020-01-31
74,Sabah,Pos Laju Kota Kinabalu,0,76,202002,1,2020-01-31,2020-01-31
75,Sabah,Pos Laju Keningau,0,6,202002,1,2020-01-31,2020-01-31
76,Sabah,Pos Laju Sandakan,0,21,202002,1,2020-01-31,2020-01-31
77,Sabah,Pos Laju Tawau,0,18,202002,1,2020-01-31,2020-01-31
78,Sabah,Pos Laju Lahad Datu,2,10,202002,1,2020-01-31,2020-01-31
79,Sarawak,Pos Laju Kuching,7,51,202002,1,2020-01-31,2020-01-31
80,Sarawak,Pos Laju Kuching Utara,0,20,202002,1,2020-01-31,2020-01-31
81,Sarawak,Pos Laju Sri Aman,0,5,202002,1,2020-01-31,2020-01-31
82,Sarawak,Pos Laju Sibu,0,19,202002,1,2020-01-31,2020-01-31
83,Sarawak,Pos Laju Sarikei,0,7,202002,1,2020-01-31,2020-01-31
84,Sarawak,Pos Laju Bintulu,2,15,202002,1,2020-01-31,2020-01-31
85,Sarawak,Pos Laju Miri,11,19,202002,1,2020-01-31,2020-01-31
86,Sarawak,Pos Laju Limbang,0,6,202002,1,2020-01-31,2020-01-31
87,N9,Pos Laju Seremban,23,23,202002,1,2020-01-31,2020-01-31